"price","host_is_superhost","host_identity_verified","instant_bookable","host_listings_count","host_total_listings_count","bedrooms","bathrooms","accommodates","beds","room_type","Amenities_Offered"
80,0,1,0,1,1,2,1,3,2,1,5
336,0,0,0,0,0,3,2,7,5,0,37
259,1,1,0,1,1,4,1,10,7,0,45
179,1,1,1,2,2,1,1,4,1,0,44
85,1,1,0,1,1,2,1,4,2,1,22
150,0,1,1,4,4,1,1,2,1,0,27
95,1,1,1,1,1,2,1,4,3,0,27
200,0,1,0,0,0,3,1,5,4,0,20
300,1,1,1,0,0,1,1,2,1,0,21
125,0,0,0,1,1,2,1,4,2,0,24
320,0,0,0,1,1,3,1,6,4,0,34
100,1,1,0,1,1,1,1,2,1,0,16
120,0,0,0,0,0,1,1,2,1,0,45
196,1,1,0,45,45,1,1,3,2,0,33
280,1,1,0,2,2,2,2,7,7,0,40
129,0,1,1,1,1,1,1,2,1,0,27
95,0,1,0,1,1,2,1,4,2,0,31
180,0,0,0,1,1,2,1,6,7,0,30
329,0,1,0,1,1,3,1,6,3,0,28
135,1,1,1,4,4,1,1,2,1,0,38
257,0,1,1,1,1,5,3,14,9,0,56
300,1,1,1,3,3,3,2.5,6,3,0,15
125,0,1,0,1,1,2,1,4,2,0,29
200,1,0,1,0,0,2,1,4,3,0,32
590,1,1,1,3,3,3,2.5,6,3,0,63
450,1,1,0,6,6,3,1.5,8,5,0,35
611,1,1,0,45,45,3,2,6,3,0,31
200,0,0,1,0,0,3,1,8,6,0,10
150,1,1,1,3,3,1,1,2,1,0,28
221,1,1,0,3,3,1,1,2,1,1,17
120,1,1,0,1,1,1,1,2,1,1,17
590,0,1,1,4,4,1,1.5,2,1,0,29
326,1,1,0,1,1,3,2,7,4,0,30
190,0,1,1,20,20,2,1,5,4,0,42
100,0,1,0,4,4,1,1,2,1,1,11
140,1,1,0,1,1,1,1,2,1,0,51
100,1,0,0,1,1,1,1,2,1,0,24
280,0,1,1,0,0,3,2,6,3,0,44
230,0,1,1,6,6,1,1,4,3,0,28
60,0,1,1,0,0,1,1,1,1,1,22
53,0,1,0,0,0,1,1,1,1,1,24
90,1,0,1,3,3,1,1,2,1,1,42
364,0,0,0,0,0,2,1,6,4,0,12
257,1,1,0,1,1,2,1,4,3,0,50
218,0,1,1,20,20,3,1,6,4,0,39
350,0,1,1,2,2,4,1,8,5,0,45
600,1,1,1,2,2,3,2,6,4,0,25
75,1,0,1,1,1,1,1,3,2,0,26
58,0,0,1,0,0,1,1,2,1,0,13
250,1,0,0,0,0,3,2,6,4,0,28
151,0,1,0,6,6,2,1,3,2,0,25
50,1,1,1,1,1,1,1,2,1,1,23
120,1,1,1,1,1,1,1,3,1,0,18
414,0,1,1,0,0,3,2,8,4,0,52
558,0,1,1,6,6,3,1,6,5,0,13
292,0,1,1,6,6,1,1,2,1,0,11
191,1,1,0,1,1,1,1,2,1,0,50
156,1,0,1,1,1,1,1,2,1,1,15
237,1,1,1,3,3,2,1,4,2,0,26
610,1,1,0,36,36,4,2,12,10,0,24
42,0,0,0,1,1,1,1,2,2,1,17
150,1,1,1,9,9,1,1,2,2,3,32
300,1,1,0,1,1,2,1,4,2,0,44
40,1,0,1,1,1,3,3,5,5,1,19
120,1,1,1,4,4,1,1,2,1,0,29
170,0,1,1,2,2,3,1.5,5,3,0,49
115,1,1,0,0,0,1,1,2,1,0,30
366,1,1,0,36,36,4,2,8,7,0,32
212,0,1,0,1,1,2,1,6,4,0,31
90,1,1,1,1,1,1,1,3,3,0,56
366,1,1,0,36,36,4,1.5,8,5,0,32
488,1,1,0,36,36,4,2,8,6,0,34
132,1,0,0,1,1,1,1,2,1,0,26
